text,label
"The minute the forward started, I knew we were in for trouble! The premise is laughable at best. The story line was even worse, if that is possible.<br /><br />The acting was stiff and the actors gave off a sense of inexperience. You expect more from the likes of Slater, Reid and Dorff. Lines were delivered as if from a robot. And I'm sorry, I like Reid but she was VERY unbelievable as an archaeologist. Slater and Dorff picked a lousy film to try and stage their comebacks. <br /><br />The continuity was off through out the entire film. The creatures weren't bad, but they really weren't good either. <br /><br />Bottom line, I want that ninety minutes of my life back. They can keep the money, but give me the time! What a waste.",0
"What a boring film! To sum it all up, its was basically just Nana Patekar beating up his daughter-in-law Karisma Kapoor, while she tried to flee from the village, with her son. Can someone say BORING??? The concept wasn't too bad, but it was poorly executed. The Canadian locales, and some of the village scenes were nicely shot. However, overall the cinematography came up short. The story could have been great, but the movie just seemed to drag on. There is only so much stupidity a person can take, let alone three bloody hours of it.<br /><br />The best part of the whole movie was the song ""Ishq Kamina"", and that was only five minutes long. Other than that, this movie was a piece of crap.",0
"I recently watched the first Guinea Pig film, The Devil's Experiment, and I must admit to being disappointed.<br /><br />This film is invariably included in any list of the ""nastiest"" films and maybe I was expecting more because of the hype. The truth is though, I don't rate it.<br /><br />If I'd been watching it believing the opening text to be true (""I found this tape...""), I might have been a bit disturbed by it, thinking it was real. Even without the benefit of knowing it not to be real though, I think I'd have worked out that it indeed wasn't.<br /><br />Throughout the film, the girl's reactions to what is being done to her just aren't what they should be. She should be screaming like a banshee in pain. The fact that she isn't means that it's obviously not real. I wouldn't want to watch it if it were real but if she were to be more convincing in her acting, the film would be more disturbing.<br /><br />And then there are the notorious scenes: nothing affected me at all up until the scalpel in the hand. The hot oil, maggots and innards just didn't bother me. I'm not saying I'm ""hard""; just that I wasn't able to suspend my disbelief, partly because of the girl's inaction.<br /><br />The scalpel made me wince a little but the hammer to the hand just made the hand look rubber. And the final scene with the eye was again a little wincing but nothing more. I didn't want to look away and neither did I feel nauseous.<br /><br />Perhaps it's because the film is twenty-odd years old, or perhaps I'm just jaded. The truth is, I didn't find this film at all disturbing.<br /><br />It's the kind of thing you might expect to see playing on a loop as a modern art installation and as an exercise in stripping away characters, story etc. and just leaving the torture, it works on some levels. As a disturbing piece of film though, it didn't work for me at least.<br /><br />I watched Guinea Pig with my wife, who is of the ""it's just a film"" bent and she wondered what all the fuss was about. We got to discussing why I watch these films and my reasons are many but include a desire to be affected by a film. She said that she didn't think any film could be so convincing as to disturb her and challenged me to do exactly that. I played her the fire extinguisher scene from Irreversible and she was indeed disturbed.<br /><br />I'm not sure I have a point, other than that both of us were more disturbed by a scene in a non-horror genre film than any film thus far which sets out to disturb.",0
"OK, I am blessed. I have seen two very strong stage productions, the one in New York with the original cast, and another at the San Diego Rep (Rosina Reynolds and Monique Gaffney, you rock!). Compared to either of these the movie is almost unwatchable. I've been plodding through the DVD for the past two evenings and am still not finished. Way too much extraneous dialog, and waaay too many added scenes and people. Yes, the four major performances are quite good, esp. Ms. Streep's. But comparing stage to film is definitely an example of ""less is more."" The thickening of the play to satisfy film-goers' need for scenic variety and specificity was a poor choice. Please, please, please go find a stage production somewhere near you.",0
"Now my friends, films like ""La Bête"" (aka ""The Beast"" or ""O Monstro"")only can be done in the old continent :),in this film we see all: horses dirty sex, nymphomaniac kind off gorilla, non sense dialogs, etc, etc, etc... In the serious terms now,its an allegory, that men sometimes could be bestial, visceral and brutal,Walerian Borowczyk (the director) shows us the loss of innocence, sexual violence, rape and brutality. Its a astonishing cinematic experience, bizarre and full of grotesque scenes. For all fans of European shocking exploitation, i recommend this film.If you like this one i recommend: ""Orloff Against the Invisible Man"" and ""Alterated States"".",1
"Ok, at the beginning it looked like ""Shrek"" - the loner that is persistently followed by the comic relief. Then it evolves into something really compelling, as the gauntlet is set. And the result is an enjoyable movie, which has moments that I agree that are a little too dramatic for kids to watch (Manny's past, for example). The premise has been obviously worked for a long time, so that they can suceed in making a movie set with almost no different sets (only ice caps and rocks), and three characters. It's a good thing to know that they succeed in doing something emotional out of it. As I said, it can be tear-jerking at some times, so, kids, be warned. The real letdown is the animation. This wasn't so souped up like the toy story movies or shrek, and it shows. The humans are unrealistic, and we have seen better examples of CGI before. But don't let this stain the record: as a solo effort, ""Ice Age"" is commendable. And it will gather many fans, I have no doubt. Oh and yes, the moments with that small mouse are priceless, and show-stealing.",1
"This is the first film of the Horrorfest I have watched and after Im almost thinking I don't need to see any of the others. I was told its a ""thinking mans horror movie"" and have to say that if this was supposed to make me think I shutter to think what the splatter/gore films in the collection will be like. Don't get me wrong not even the gore in this film is worth sitting through.<br /><br />The plot is very washed out with way too much art for arts sake. The camera effects and music are out of place most of the time and the characters are banal to say the least. Several characters and scenes seem worthless in the end when they start to reveal some of the hooks of ""The Hamiltons"". I figured out who Lenny was about half hour in when I figured out the movie. I was so visually under whelmed and confused by the Lenny reveal that I completely felt ripped off. I expected what I got but they could have gone so much further, in fact all the gore falls completely flat. With movies out there like ""Hostel"" and ""Saw"" you need to come a little better for a film that is ""considered to graphic or too disturbing for general audiences"".",0
"Like with any movie genre, there are good gangster movies and there are bad gangster movies. If you asked me to name a good gangster movie, I'd have dozens to choose from. If you asked me to name a bad gangster movie, probably the first one to pop up in my mind is one that still has me in a sort of depression of disappointment about a week since I saw the film for the first and I promise you, the last time. That film is ""The General"", unrelated to the 1926 silent film of the same name. This is a very dry, very slow gangster epic that raises questions not about the story (it's more than easy to follow) but about why the filmmakers chose to make this rather flimsy endeavor.<br /><br />Like ""Goodfellas"" (1990) and ""American Gangster"" (2007)two superior mob movies""The General"" is based on real people and true events. The film revolves around an Irish criminal named Martin Cahill (Brendan Gleeson) who started his long chain of crimes stealing food as a teenager and then moving up to robbing museums and houses as an adult. Meanwhile, the police led by an inspector named Kenny (Jon Voight) try desperately and vigorously to prove just one of his crimes and convict (or kill) him.<br /><br />Perhaps because it's a film in the same category as the marvelous ""Goodfellas"" (1990) and the first two ""Godfather"" films, I was expecting too much from ""The General."" But that may be going too easy on it. This would have been a bad film had I not seen the aforementioned masterpieces before being swamped by boredom in this oater and its far-too-stretched running time of screaming bad scenes. Let's start knocking the film by just looking at the style in which it is presented. For some reason, director John Boorman and cinematographer Seamus Deasy selected to film this movie in black-and-white while its style and presentation are clearly the elements that belong to a full-fledged color film. Now I have nothing against b/w pictures, not even ones made in modern-day times. ""Schindler's List"" (1993) was more than ninety percent filmed in black-and-white and it's a masterpiece. ""The General"", made just five years after ""Schindler's List"" is not. The cinematography is also far too blown out with high lighting keys that seem very distracting and give the movie a very video-game-like quality that I found simply annoying. The filmmakers were obviously going for a realist's documentary-like style, like ""Schindler's List"" did, but they fail by making it seem too much like a documentary and at the same time, too much like a classic-style motion picture. Performances in the film range from passable to poor. Brendan Gleeson and Jon Voight gave decent enthusiasm for their roles, but it seemed to me at times that even they were getting kind of run down by the awful screenplay from which they were quoting. The sound design is also very primitive, probably in an attempt to give it a 40s crime-noir appeal, but that also fails because again, it's made too much like a contemporary picture and seems vastly out of place.<br /><br />But the worst thing that occurs is that there's not onenot onecharacter in the film that I felt any emotions or opinions for. In fact, for every moment of every scene, the only thought going through my head was ""okayso what?"" Moments that in a better film might come across as shocking or appalling are just dull and time-consuming here. I did not sympathize or hate the Brendan Gleeson character because the way the Cahill character is written is simply flat and dull. Gleeson just plays the common criminal and does not strike out with the impact the real Martin Cahill obviously did. If a character is killed off (as they always are in gangster films), we feel nothing. No remorse, no relief, no surprise, nothing. We just say ""so what?"" And that's all I did during the entire running time of this very flimsy, very poorly-made crime film.",0
"Nothing could have saved this movie, not even Superman.<br /><br />Ten years ago the special effects would have been amazing. Better directing might have gotten some more feeling and better performances out of the actors. But nothing but feeding the script to a dragon could have fixed it. Plot holes, bad lines, terrible pacing, endless replaying of the same shots of a CGI dragon stomping through hallways... ugh.<br /><br />Avoid this one at all costs.<br /><br />",0
"I had to register for IMDb just to post a comment on just how awful this movie is...my cats and a ball of string have a better storyline than this. Not the worst acting I've ever seen, but when you wipe out almost the entire cast of the movie within 5 minutes, it leaves a bit to be desired. There wasn't a single 'scare' moment in the movie, with the exception of when they were watching the movie 'Halloween' on the TV. All around, it seems like it could've been a good story, rolling the credits and saying that Chasey Lain was in it was a bit of a loss as I didn't recognize her right away and her scene was already over before I could've said 'oh yeah, there she is'. I'm so glad I saw this in a hotel and didn't pay for it as I'd be real ticked if I had payed a cent to see this. I normally like or can at least find a redeeming factor in a movie, but this one is an exception. It's so bad that it's not even that amusing so-good-it's-bad....it's just plain bad.",0
